Entry	Entry name	Gene names	Cross-reference (GeneID)
P40957	MAD1_YEAST	MAD1 YGL086W	852794;
P53075	SHE10_YEAST	SHE10 YGL228W	852623;
Q02961	YP113_YEAST	YPL113C	855990;
P47047	MTR4_YEAST	MTR4 DOB1 YJL050W J1158	853397;
P15873	PCNA_YEAST	POL30 YBR088C YBR0811	852385;
Q08176	MIM1_YEAST	MIM1 TOM13 YOL026C	854131;
P30771	NAM7_YEAST	NAM7 IFS2 MOF4 UPF1 YMR080C YM9582.05C	855104;
P19146	ARF2_YEAST	ARF2 YDL137W D2165	851418;
P37267	CBP4_YEAST	CBP4 YGR174C G7122	853085;
Q04305	UTP15_YEAST	UTP15 YMR093W YM9582.18	855118;
Q02354	UTP6_YEAST	UTP6 YDR449C D9461.34	852060;
P49687	NU145_YEAST	NUP145 RAT10 YGL092W	852788;
P43124	NSE4_YEAST	NSE4 QRI2 YDL105W D2354	851453;
P38816	TRXB2_YEAST	TRR2 YHR106W	856506;
P37302	APE3_YEAST	APE3 YBR286W YBR2024	852589;
Q8TGU7	YB126_YEAST	YBR126W-A	13393614;
Q8TGN3	YJ77A_YEAST	YJL077W-A	13393612;
Q07798	SPO75_YEAST	SPO75 YLL005C L1361	850655;
P12754	EI2BD_YEAST	GCD2 TIF224 YGR083C	852974;
Q03433	VPS71_YEAST	VPS71 SWC6 YML041C YM8054.02C	854966;
Q06709	REH1_YEAST	REH1 YLR387C	851103;
Q2V2P7	YD461_YEAST	YDR461C-A	3799972;
P38860	MTG2_YEAST	MTG2 YHR168W	856573;
Q12300	RGT2_YEAST	RGT2 YDL138W D2160	851417;
Q07653	HBT1_YEAST	HBT1 Crem YDL223C	851303;
P19955	RT31_YEAST	YMR31 YFR049W	850610;
Q01896	ATN2_YEAST	ENA2 PMR2B YDR039C	851609;
Q02883	FMP30_YEAST	FMP30 YPL103C	856001;
P38297	FZO1_YEAST	FZO1 YBR179C YBR1241	852477;
Q01855	RS15_YEAST	RPS15 RPS21 YOL040C	854117;
